kind,identifier,detail
classification_disagreement,BSE:SENSEX1,source_list=EQUITY depository_isin=ETF isin=INF174KA1JD7 -> depository evidence used
classification_disagreement,BSE:IVZINGOLD,source_list=EQUITY depository_isin=ETF isin=INF205KA1BP1 -> depository evidence used
classification_disagreement,BSE:HDFCGOLD,source_list=EQUITY depository_isin=ETF isin=INF179KC1981 -> depository evidence used
classification_disagreement,BSE:GOLDIETF,source_list=EQUITY depository_isin=ETF isin=INF109KC1NT3 -> depository evidence used
classification_disagreement,BSE:MON100,source_list=EQUITY depository_isin=ETF isin=INF247L01AP3 -> depository evidence used
classification_disagreement,BSE:BSLGOLDETF,source_list=EQUITY depository_isin=ETF isin=INF209KB18D3 -> depository evidence used
classification_disagreement,BSE:GOLDAXIS,source_list=EQUITY depository_isin=ETF isin=INF846K01W80 -> depository evidence used
classification_disagreement,BSE:LICMFGOLD,source_list=EQUITY depository_isin=ETF isin=INF767K01SM1 -> depository evidence used
classification_disagreement,BSE:SBISENSEX,source_list=EQUITY depository_isin=ETF isin=INF200K01VT2 -> depository evidence used
classification_disagreement,BSE:MOM100,source_list=EQUITY depository_isin=ETF isin=INF247L01023 -> depository evidence used
classification_disagreement,BSE:NIFTYIETF,source_list=EQUITY depository_isin=ETF isin=INF109K012R6 -> depository evidence used
classification_disagreement,BSE:NIF100IETF,source_list=EQUITY depository_isin=ETF isin=INF109KC16V9 -> depository evidence used
classification_disagreement,BSE:NIF100BEES,source_list=EQUITY depository_isin=ETF isin=INF204K014N5 -> depository evidence used
classification_disagreement,BSE:NIFTY1,source_list=EQUITY depository_isin=ETF isin=INF174K014P6 -> depository evidence used
classification_disagreement,BSE:CPSEETF,source_list=EQUITY depository_isin=ETF isin=INF457M01133 -> depository evidence used
classification_disagreement,BSE:SENSEXBEES,source_list=EQUITY depository_isin=ETF isin=INF204KA1UN7 -> depository evidence used
classification_disagreement,BSE:SETFBSE100,source_list=EQUITY depository_isin=ETF isin=INF200KA1572 -> depository evidence used
classification_disagreement,BSE:SENSEXBETA,source_list=EQUITY depository_isin=ETF isin=INF789FB1X58 -> depository evidence used
classification_disagreement,BSE:NIFTYBETA,source_list=EQUITY depository_isin=ETF isin=INF789F1AZC0 -> depository evidence used
classification_disagreement,BSE:LICNETFN50,source_list=EQUITY depository_isin=ETF isin=INF767K01OS7 -> depository evidence used
classification_disagreement,BSE:LICNETFSEN,source_list=EQUITY depository_isin=ETF isin=INF767K01OT5 -> depository evidence used
classification_disagreement,BSE:HDFCNIFTY,source_list=EQUITY depository_isin=ETF isin=INF179KC1965 -> depository evidence used
classification_disagreement,BSE:HDFCSENSEX,source_list=EQUITY depository_isin=ETF isin=INF179KC1HX2 -> depository evidence used
classification_disagreement,BSE:LICNFNHGP,source_list=EQUITY depository_isin=ETF isin=INF767K01PC8 -> depository evidence used
classification_disagreement,BSE:NV20IETF,source_list=EQUITY depository_isin=ETF isin=INF109KC11V0 -> depository evidence used
classification_disagreement,BSE:MIDSELIETF,source_list=EQUITY depository_isin=ETF isin=INF109KC10W0 -> depository evidence used
classification_disagreement,BSE:BSLSENETFG,source_list=EQUITY depository_isin=ETF isin=INF209KB10E8 -> depository evidence used
classification_disagreement,BSE:IDFSENSEXE,source_list=EQUITY depository_isin=ETF isin=INF194KA1T91 -> depository evidence used
classification_disagreement,BSE:LOWVOLIETF,source_list=EQUITY depository_isin=ETF isin=INF109KC19U5 -> depository evidence used
classification_disagreement,BSE:NEXT50BETA,source_list=EQUITY depository_isin=ETF isin=INF789F1AUW9 -> depository evidence used
classification_disagreement,BSE:ICICIB22,source_list=EQUITY depository_isin=ETF isin=INF109KB15Y7 -> depository evidence used
classification_disagreement,BSE:BSE500IETF,source_list=EQUITY depository_isin=ETF isin=INF109KC1V59 -> depository evidence used
classification_disagreement,BSE:NEXT50IETF,source_list=EQUITY depository_isin=ETF isin=INF109KC1NS5 -> depository evidence used
classification_disagreement,BSE:SETFSN50,source_list=EQUITY depository_isin=ETF isin=INF200KA1VQ2 -> depository evidence used
classification_disagreement,BSE:NIFTYETF,source_list=EQUITY depository_isin=ETF isin=INF769K01EG9 -> depository evidence used
classification_disagreement,BSE:ABSLNN50ET,source_list=EQUITY depository_isin=ETF isin=INF209KB16D7 -> depository evidence used
classification_disagreement,BSE:SNXT50BETA,source_list=EQUITY depository_isin=ETF isin=INF789F1AUU3 -> depository evidence used
classification_disagreement,BSE:BANKIETF,source_list=EQUITY depository_isin=ETF isin=INF109KC15I8 -> depository evidence used
classification_disagreement,BSE:SNXT50BEES,source_list=EQUITY depository_isin=ETF isin=INF204KB15D0 -> depository evidence used
classification_disagreement,BSE:PVTBANIETF,source_list=EQUITY depository_isin=ETF isin=INF109KC18U7 -> depository evidence used
classification_disagreement,BSE:ABSLBANETF,source_list=EQUITY depository_isin=ETF isin=INF209KB17D5 -> depository evidence used
classification_disagreement,BSE:MIDCAPIETF,source_list=EQUITY depository_isin=ETF isin=INF109KC11W8 -> depository evidence used
classification_disagreement,BSE:NEXT50,source_list=EQUITY depository_isin=ETF isin=INF769K01FN2 -> depository evidence used
classification_disagreement,BSE:08MPD,source_list=EQUITY depository_isin=ETF isin=INF204KB11T5 -> depository evidence used
classification_disagreement,BSE:08ADR,source_list=EQUITY depository_isin=ETF isin=INF204KB12S5 -> depository evidence used
