source,identifier,reason,detail
bse_all,710057,out_of_scope_segment,PreferenceShares
bse_all,715004,out_of_scope_segment,PreferenceShares
bse_all,715005,out_of_scope_segment,PreferenceShares
bse_all,715006,out_of_scope_segment,PreferenceShares
bse_all,715015,out_of_scope_segment,PreferenceShares
bse_all,715016,out_of_scope_segment,PreferenceShares
bse_all,715017,out_of_scope_segment,PreferenceShares
bse_all,715018,out_of_scope_segment,PreferenceShares
bse_all,715019,out_of_scope_segment,PreferenceShares
bse_all,715020,out_of_scope_segment,PreferenceShares
bse_all,715021,out_of_scope_segment,PreferenceShares
bse_all,715024,out_of_scope_segment,PreferenceShares
bse_all,718102,out_of_scope_segment,Commercial Papers
bse_all,730195,out_of_scope_segment,Commercial Papers
bse_all,730249,out_of_scope_segment,Commercial Papers
bse_all,730264,out_of_scope_segment,Commercial Papers
bse_all,730297,out_of_scope_segment,Commercial Papers
bse_all,730366,out_of_scope_segment,Commercial Papers
bse_all,730420,out_of_scope_segment,Commercial Papers
bse_all,730424,out_of_scope_segment,Commercial Papers
bse_all,730478,out_of_scope_segment,Commercial Papers
bse_all,730479,out_of_scope_segment,Commercial Papers
bse_all,730481,out_of_scope_segment,Commercial Papers
bse_all,730482,out_of_scope_segment,Commercial Papers
bse_all,730483,out_of_scope_segment,Commercial Papers
bse_all,730486,out_of_scope_segment,Commercial Papers
bse_all,730501,out_of_scope_segment,Commercial Papers
bse_all,730503,out_of_scope_segment,Commercial Papers
bse_all,730511,out_of_scope_segment,Commercial Papers
bse_all,730512,out_of_scope_segment,Commercial Papers
bse_all,730514,out_of_scope_segment,Commercial Papers
bse_all,730534,out_of_scope_segment,Commercial Papers
bse_all,730536,out_of_scope_segment,Commercial Papers
bse_all,730547,out_of_scope_segment,Commercial Papers
bse_all,730548,out_of_scope_segment,Commercial Papers
bse_all,730557,out_of_scope_segment,Commercial Papers
bse_all,730568,out_of_scope_segment,Commercial Papers
bse_all,730600,out_of_scope_segment,Commercial Papers
bse_all,730601,out_of_scope_segment,Commercial Papers
bse_all,730612,out_of_scope_segment,Commercial Papers
bse_all,730616,out_of_scope_segment,Commercial Papers
bse_all,730623,out_of_scope_segment,Commercial Papers
bse_all,730634,out_of_scope_segment,Commercial Papers
bse_all,730635,out_of_scope_segment,Commercial Papers
bse_all,730662,out_of_scope_segment,Commercial Papers
bse_all,730679,out_of_scope_segment,Commercial Papers
bse_all,730692,out_of_scope_segment,Commercial Papers
bse_all,730695,out_of_scope_segment,Commercial Papers
bse_all,730701,out_of_scope_segment,Commercial Papers
bse_all,730706,out_of_scope_segment,Commercial Papers
bse_all,730738,out_of_scope_segment,Commercial Papers
bse_all,730739,out_of_scope_segment,Commercial Papers
bse_all,730753,out_of_scope_segment,Commercial Papers
bse_all,730758,out_of_scope_segment,Commercial Papers
bse_all,730772,out_of_scope_segment,Commercial Papers
bse_all,730777,out_of_scope_segment,Commercial Papers
bse_all,730797,out_of_scope_segment,Commercial Papers
bse_all,730812,out_of_scope_segment,Commercial Papers
bse_all,730827,out_of_scope_segment,Commercial Papers
bse_all,730883,out_of_scope_segment,Commercial Papers
bse_all,730886,out_of_scope_segment,Commercial Papers
bse_all,730887,out_of_scope_segment,Commercial Papers
bse_all,730894,out_of_scope_segment,Commercial Papers
bse_all,730895,out_of_scope_segment,Commercial Papers
bse_all,730904,out_of_scope_segment,Commercial Papers
bse_all,730905,out_of_scope_segment,Commercial Papers
bse_all,730906,out_of_scope_segment,Commercial Papers
bse_all,730924,out_of_scope_segment,Commercial Papers
bse_all,730925,out_of_scope_segment,Commercial Papers
bse_all,730932,out_of_scope_segment,Commercial Papers
bse_all,730937,out_of_scope_segment,Commercial Papers
bse_all,730939,out_of_scope_segment,Commercial Papers
bse_all,730940,out_of_scope_segment,Commercial Papers
bse_all,730941,out_of_scope_segment,Commercial Papers
bse_all,730942,out_of_scope_segment,Commercial Papers
bse_all,730944,out_of_scope_segment,Commercial Papers
bse_all,730947,out_of_scope_segment,Commercial Papers
bse_all,730948,out_of_scope_segment,Commercial Papers
bse_all,730949,out_of_scope_segment,Commercial Papers
bse_all,730956,out_of_scope_segment,Commercial Papers
bse_all,730957,out_of_scope_segment,Commercial Papers
bse_all,730958,out_of_scope_segment,Commercial Papers
bse_all,730961,out_of_scope_segment,Commercial Papers
bse_all,730962,out_of_scope_segment,Commercial Papers
bse_all,730965,out_of_scope_segment,Commercial Papers
bse_all,730968,out_of_scope_segment,Commercial Papers
bse_all,730970,out_of_scope_segment,Commercial Papers
bse_all,730971,out_of_scope_segment,Commercial Papers
bse_all,730973,out_of_scope_segment,Commercial Papers
bse_all,730976,out_of_scope_segment,Commercial Papers
bse_all,730978,out_of_scope_segment,Commercial Papers
bse_all,730979,out_of_scope_segment,Commercial Papers
bse_all,730983,out_of_scope_segment,Commercial Papers
bse_all,730988,out_of_scope_segment,Commercial Papers
bse_all,730991,out_of_scope_segment,Commercial Papers
bse_all,730997,out_of_scope_segment,Commercial Papers
bse_all,731000,out_of_scope_segment,Commercial Papers
bse_all,731005,out_of_scope_segment,Commercial Papers
bse_all,731006,out_of_scope_segment,Commercial Papers
bse_all,731009,out_of_scope_segment,Commercial Papers
bse_all,731012,out_of_scope_segment,Commercial Papers
bse_all,731013,out_of_scope_segment,Commercial Papers
bse_all,731015,out_of_scope_segment,Commercial Papers
bse_all,731018,out_of_scope_segment,Commercial Papers
bse_all,731020,out_of_scope_segment,Commercial Papers
bse_all,731021,out_of_scope_segment,Commercial Papers
bse_all,731022,out_of_scope_segment,Commercial Papers
bse_all,731025,out_of_scope_segment,Commercial Papers
bse_all,731026,out_of_scope_segment,Commercial Papers
bse_all,731036,out_of_scope_segment,Commercial Papers
bse_all,731038,out_of_scope_segment,Commercial Papers
bse_all,731039,out_of_scope_segment,Commercial Papers
bse_all,731042,out_of_scope_segment,Commercial Papers
bse_all,731043,out_of_scope_segment,Commercial Papers
bse_all,731045,out_of_scope_segment,Commercial Papers
bse_all,731051,out_of_scope_segment,Commercial Papers
bse_all,731055,out_of_scope_segment,Commercial Papers
bse_all,731056,out_of_scope_segment,Commercial Papers
bse_all,731057,out_of_scope_segment,Commercial Papers
bse_all,731064,out_of_scope_segment,Commercial Papers
bse_all,731068,out_of_scope_segment,Commercial Papers
bse_all,731070,out_of_scope_segment,Commercial Papers
bse_all,731075,out_of_scope_segment,Commercial Papers
bse_all,731078,out_of_scope_segment,Commercial Papers
bse_all,731091,out_of_scope_segment,Commercial Papers
bse_all,731097,out_of_scope_segment,Commercial Papers
bse_all,731107,out_of_scope_segment,Commercial Papers
