kind,identifier,detail
name_variant_between_exchanges,INE144J01027,20 Microns Limited | 20 Microns Ltd
name_variant_between_exchanges,INE253B01015,21st Century Management Services Limited | Twentyfirst Century Management Services Ltd
name_variant_between_exchanges,INE466L01038,360 ONE WAM LIMITED | 360 ONE WAM LTD
name_variant_between_exchanges,INE994E01018,3B BlackBio Dx Ltd | 3B Blackbio Dx Limited
name_variant_between_exchanges,INE748C01038,3i Infotech Limited | 3i Infotech Ltd
name_variant_between_exchanges,INE470A01017,3M India Limited | 3M India Ltd
name_variant_between_exchanges,INE105C01023,3P Land Holdings Limited | 3P Land Holdings Ltd
name_variant_between_exchanges,INE618L01018,5Paisa Capital Limited | 5paisa Capital Ltd
name_variant_between_exchanges,INE111B01023,63 Moons Technologies Ltd | 63 moons technologies limited
name_variant_between_exchanges,INE619I01012,A2Z Infra Engineering Limited | A2Z Infra Engineering Ltd
name_variant_between_exchanges,INE0D0U01013,AAA Technologies Limited | AAA Technologies Ltd
name_variant_between_exchanges,INE883F01010,Aadhar Housing Finance Limited | Aadhar Housing Finance Ltd
name_variant_between_exchanges,INE198H01019,Aarey Drugs & Pharmaceuticals Limited | Aarey Drugs & Pharmaceuticals Ltd
name_variant_between_exchanges,INE750R01016,Aarnav Fashions Limited | Aarnav Fashions Ltd
name_variant_between_exchanges,INE01C001026,Aartech Solonics Limited | Aartech Solonics Ltd
name_variant_between_exchanges,INE767A01016,Aarti Drugs Limited | Aarti Drugs Ltd
name_variant_between_exchanges,INE769A01020,Aarti Industries Limited | Aarti Industries Ltd
name_variant_between_exchanges,INE0LRU01027,Aarti Pharmalabs Limited | Aarti Pharmalabs Ltd
name_variant_between_exchanges,INE09EO01013,Aarti Surfactants Limited | Aarti Surfactants Ltd
name_variant_between_exchanges,INE754X01016,Aarvi Encon Limited | Aarvi Encon Ltd
name_variant_between_exchanges,INE2FMX01012,Aastha Spintex Limited | Aastha Spintex Ltd
name_variant_between_exchanges,INE216P01012,AAVAS Financiers Ltd | Aavas Financiers Limited
name_variant_between_exchanges,INE421A01028,Aban Offshore Limited | Aban Offshore Ltd
name_variant_between_exchanges,INE365O01028,Abans Enterprises Limited | Abans Enterprises Ltd
name_variant_between_exchanges,INE117A01022,ABB India Limited | ABB India Ltd
name_variant_between_exchanges,INE358A01014,Abbott India Limited | Abbott India Ltd
name_variant_between_exchanges,INE674K01013,Aditya Birla Capital Limited | Aditya Birla Capital Ltd
name_variant_between_exchanges,INE08PH01015,A B Cotspin India Limited | A B Cotspin India Ltd
name_variant_between_exchanges,INE552Z01027,Allied Blenders and Distillers Limited | Allied Blenders and Distillers Ltd
name_variant_between_exchanges,INE647O01011,Aditya Birla Fashion and Retail Limited | Aditya Birla Fashion and Retail Ltd
name_variant_between_exchanges,INE00YB01025,A B Infrabuild Limited | A B Infrabuild Ltd
name_variant_between_exchanges,INE14LE01019,Aditya Birla Lifestyle Brands Limited | Aditya Birla Lifestyle Brands Ltd
name_variant_between_exchanges,INE850B01026,ABM Knowledgeware Limited | ABM Knowledgeware Ltd
name_variant_between_exchanges,INE055A01016,Aditya Birla Real Estate Limited | Aditya Birla Real Estate Ltd
name_variant_between_exchanges,INE404A01024,Aditya Birla Sun Life AMC Limited | Aditya Birla Sun Life AMC Ltd
name_variant_between_exchanges,INE012A01025,ACC Limited | ACC Ltd
name_variant_between_exchanges,INE793A01012,Accelya Solutions India Limited | Accelya Solutions India Ltd
name_variant_between_exchanges,INE648Z01023,Accuracy Shipping Limited | Accuracy Shipping Ltd
name_variant_between_exchanges,INE731H01025,Action Construction Equipment Limited | Action Construction Equipment Ltd
name_variant_between_exchanges,INE451C01013,Automobile Corporation of Goa Limited | Automobile Corporation of Goa Ltd
name_variant_between_exchanges,INE128X01021,Archean Chemical Industries Limited | Archean Chemical Industries Ltd
name_variant_between_exchanges,INE666E01020,Andhra Cements Limited | Andhra Cements Ltd
name_variant_between_exchanges,INE622W01025,ACME Solar Holdings Ltd | Acme Solar Holdings Limited
name_variant_between_exchanges,INE366C01021,ACS Technologies Limited | ACS Technologies Ltd
name_variant_between_exchanges,INE00FF01025,Acutaas Chemicals Limited | Acutaas Chemicals Ltd
name_variant_between_exchanges,INE931S01010,Adani Energy Solutions Limited | Adani Energy Solutions Ltd
name_variant_between_exchanges,INE423A01024,Adani Enterprises Limited | Adani Enterprises Ltd
name_variant_between_exchanges,INE364U01010,Adani Green Energy Limited | Adani Green Energy Ltd
name_variant_between_exchanges,INE742F01042,Adani Ports and Special Economic Zone Limited | Adani Ports and Special Economic Zone Ltd
